ISO 639-3,Language,Family,Subgrouping,Script,Bitex w/En,Mono Data
mar,Maori,Indo-European,Indo-Aryan,Devanagari,109K,14.4M
mon,Mongolian,Mongolic,Other,Cyrillic,20.8K,78.9M
nep,Nepali,Indo-European,Indo-Aryan,Devanagari,19.6K,17.9M
nso,Northern Sotho,Atlantic-Congo,Bantu,Latin,13.8K,612K
nob,Norwegian,Indo-European,Germanic,Latin,10.9M,338M
nya,Nyanja,Atlantic-Congo,Bantu,Latin,932K,—
oci,Occitan,Indo-European,Romance,Latin,51.11K,—
ory,Oriya,Indo-European,Indo-Aryan,Oriya,5K,2.47M
orm,Oromo,Afro-Asiatic,Afro-Asiatic,Latin,162K,752K
pus,Pashto,Indo-European,Indo-Aryan,Perso-Arabic,293K,12M
fas,Persian,Indo-European,Indo-Aryan,Perso-Arabic,6.63M,611M
pol,Polish,Indo-European,Balto-Slavic,Latin,40.9M,256M
por,Portuguese (Brazil),Indo-European,Romance,Latin,137M,340M
pan,Punjabi,Indo-European,Indo-Aryan,Gurmukhi,142K,5.02M
ron,Romanian,Indo-European,Romance,Latin,31.9M,391M
rus,Russian,Indo-European,Balto-Slavic,Cyrillic,127M,849M
srp,Serbian,Indo-European,Balto-Slavic,Cyrillic,7.01M,35.7M
sna,Shona,Atlantic-Congo,Bantu,Latin,877K,—
snd,Sindhi,Indo-European,Indo-Aryan,Perso-Arabic,21.8K,314K
slk,Slovak,Indo-European,Balto-Slavic,Latin,10.5M,174M
slv,Slovenian,Indo-European,Balto-Slavic,Latin,5.42M,74.7M
som,Somali,Afro-Asiatic,Afro-Asiatic,Latin,358K,14.1M
ckb,Sorani Kurdish,Indo-European,Indo-Aryan,Arabic,305K,7.98M
spa,Spanish (Latin America),Indo-European,Romance,Latin,315M,379M
swh,Swahili,Atlantic-Congo,Bantu,Latin,349K,35.8M
swe,Swedish,Indo-European,Germanic,Latin,54.8M,580M
tgk,Tajik,Indo-European,Indo-Aryan,Cyrillic,544K,—
tam,Tamil,Dravidian,Dravidian,Tamil,992K,68.2M
tel,Telugu,Dravidian,Dravidian,Telugu-Kannada,381K,17.2M
tha,Thai,Kra-Dai,Sino-Tibetan+Kra-Dai,Thai,10.6M,319M
tur,Turkish,Turkic,Turkic,Latin,41.2M,128M
ukr,Ukrainian,Indo-European,Balto-Slavic,Cyrillic,5.44M,357M
umb,Umbundu,Atlantic-Congo,Bantu,Latin,217K,142K
urd,Urdu,Indo-European,Indo-Aryan,Perso-Arabic,630K,28M
uzb,Uzbek,Turkic,Turkic,Latin,—,7.54M
vie,Vietnamese,Austro-Asiatic,Austro-Asiatic,Latin,32.1M,992M
cym,Welsh,Indo-European,Other IE,Latin,826K,12.7M
wol,Wolof,Atlantic-Congo,Niloitic+Other AC,Latin,86.9K,676K
xho,Xhosa,Atlantic-Congo,Bantu,Latin,130K,995K
yor,Yoruba,Atlantic-Congo,Niloitic+Other AC,Latin,171K,1.59M
zul,Zulu,Atlantic-Congo,Bantu,Latin,123K,994K
